reciter,surah,ayah,word_idx,start_ms,end_ms,multiword_segment,audio_path
Abdul_Basit_Murattal_64kbps,78,1,0,500,1970,0,Abdul_Basit_Murattal_64kbps/078001.wav
Abdul_Basit_Murattal_64kbps,78,1,1,1980,5190,0,Abdul_Basit_Murattal_64kbps/078001.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,1,0,550,1940,0,Abu_Bakr_Ash-Shaatree_128kbps/078001.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,1,1,1950,5570,0,Abu_Bakr_Ash-Shaatree_128kbps/078001.wav
Alafasy_128kbps,78,1,0,30,1240,0,Alafasy_128kbps/078001.wav
Alafasy_128kbps,78,1,1,1250,4030,0,Alafasy_128kbps/078001.wav
Hani_Rifai_192kbps,78,1,0,80,1130,0,Hani_Rifai_192kbps/078001.wav
Hani_Rifai_192kbps,78,1,1,1140,4770,0,Hani_Rifai_192kbps/078001.wav
Husary_64kbps,78,1,0,500,1930,0,Husary_64kbps/078001.wav
Husary_64kbps,78,1,1,1940,6740,0,Husary_64kbps/078001.wav
Minshawy_Murattal_128kbps,78,1,0,460,1840,0,Minshawy_Murattal_128kbps/078001.wav
Minshawy_Murattal_128kbps,78,1,1,1850,5410,0,Minshawy_Murattal_128kbps/078001.wav
Mohammad_al_Tablaway_128kbps,78,1,0,60,1170,0,Mohammad_al_Tablaway_128kbps/078001.wav
Mohammad_al_Tablaway_128kbps,78,1,1,1180,6100,0,Mohammad_al_Tablaway_128kbps/078001.wav
Saood_ash-Shuraym_128kbps,78,1,0,100,730,0,Saood_ash-Shuraym_128kbps/078001.wav
Saood_ash-Shuraym_128kbps,78,1,1,740,4260,0,Saood_ash-Shuraym_128kbps/078001.wav
Abdul_Basit_Murattal_64kbps,78,2,0,500,1050,0,Abdul_Basit_Murattal_64kbps/078002.wav
Abdul_Basit_Murattal_64kbps,78,2,1,1060,2360,0,Abdul_Basit_Murattal_64kbps/078002.wav
Abdul_Basit_Murattal_64kbps,78,2,2,2370,3510,0,Abdul_Basit_Murattal_64kbps/078002.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,2,0,250,690,0,Abu_Bakr_Ash-Shaatree_128kbps/078002.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,2,1,700,2390,0,Abu_Bakr_Ash-Shaatree_128kbps/078002.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,2,2,2400,4060,0,Abu_Bakr_Ash-Shaatree_128kbps/078002.wav
Alafasy_128kbps,78,2,0,80,1220,0,Alafasy_128kbps/078002.wav
Alafasy_128kbps,78,2,1,1230,1810,0,Alafasy_128kbps/078002.wav
Alafasy_128kbps,78,2,2,1820,4560,0,Alafasy_128kbps/078002.wav
Hani_Rifai_192kbps,78,2,0,150,540,0,Hani_Rifai_192kbps/078002.wav
Hani_Rifai_192kbps,78,2,1,550,1620,0,Hani_Rifai_192kbps/078002.wav
Hani_Rifai_192kbps,78,2,2,1630,3140,0,Hani_Rifai_192kbps/078002.wav
Husary_64kbps,78,2,0,300,860,0,Husary_64kbps/078002.wav
Husary_64kbps,78,2,1,870,2470,0,Husary_64kbps/078002.wav
Husary_64kbps,78,2,2,2480,4670,0,Husary_64kbps/078002.wav
Minshawy_Murattal_128kbps,78,2,0,400,1480,0,Minshawy_Murattal_128kbps/078002.wav
Minshawy_Murattal_128kbps,78,2,1,1490,2420,0,Minshawy_Murattal_128kbps/078002.wav
Minshawy_Murattal_128kbps,78,2,2,2430,3690,0,Minshawy_Murattal_128kbps/078002.wav
Mohammad_al_Tablaway_128kbps,78,2,0,180,770,0,Mohammad_al_Tablaway_128kbps/078002.wav
Mohammad_al_Tablaway_128kbps,78,2,1,780,2250,0,Mohammad_al_Tablaway_128kbps/078002.wav
Mohammad_al_Tablaway_128kbps,78,2,2,2260,4940,0,Mohammad_al_Tablaway_128kbps/078002.wav
Saood_ash-Shuraym_128kbps,78,2,0,100,500,0,Saood_ash-Shuraym_128kbps/078002.wav
Saood_ash-Shuraym_128kbps,78,2,1,510,1260,0,Saood_ash-Shuraym_128kbps/078002.wav
Saood_ash-Shuraym_128kbps,78,2,2,1270,2320,0,Saood_ash-Shuraym_128kbps/078002.wav
Abdul_Basit_Murattal_64kbps,78,3,0,500,1480,0,Abdul_Basit_Murattal_64kbps/078003.wav
Abdul_Basit_Murattal_64kbps,78,3,1,1490,1880,0,Abdul_Basit_Murattal_64kbps/078003.wav
Abdul_Basit_Murattal_64kbps,78,3,2,1890,2640,0,Abdul_Basit_Murattal_64kbps/078003.wav
Abdul_Basit_Murattal_64kbps,78,3,3,2650,4400,0,Abdul_Basit_Murattal_64kbps/078003.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,3,0,130,1140,0,Abu_Bakr_Ash-Shaatree_128kbps/078003.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,3,1,1150,1620,0,Abu_Bakr_Ash-Shaatree_128kbps/078003.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,3,2,1630,2350,0,Abu_Bakr_Ash-Shaatree_128kbps/078003.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,3,3,2360,4310,0,Abu_Bakr_Ash-Shaatree_128kbps/078003.wav
Alafasy_128kbps,78,3,0,30,1070,0,Alafasy_128kbps/078003.wav
Alafasy_128kbps,78,3,1,1080,1500,0,Alafasy_128kbps/078003.wav
Alafasy_128kbps,78,3,2,1510,2310,0,Alafasy_128kbps/078003.wav
Alafasy_128kbps,78,3,3,2320,5380,0,Alafasy_128kbps/078003.wav
Hani_Rifai_192kbps,78,3,0,30,940,0,Hani_Rifai_192kbps/078003.wav
Hani_Rifai_192kbps,78,3,1,950,1340,0,Hani_Rifai_192kbps/078003.wav
Hani_Rifai_192kbps,78,3,2,1350,2090,0,Hani_Rifai_192kbps/078003.wav
Hani_Rifai_192kbps,78,3,3,2100,3840,0,Hani_Rifai_192kbps/078003.wav
Husary_64kbps,78,3,0,350,1920,0,Husary_64kbps/078003.wav
Husary_64kbps,78,3,1,1930,2600,0,Husary_64kbps/078003.wav
Husary_64kbps,78,3,2,2610,3890,0,Husary_64kbps/078003.wav
Husary_64kbps,78,3,3,3900,6680,0,Husary_64kbps/078003.wav
Minshawy_Murattal_128kbps,78,3,0,500,1760,0,Minshawy_Murattal_128kbps/078003.wav
Minshawy_Murattal_128kbps,78,3,1,1770,2350,0,Minshawy_Murattal_128kbps/078003.wav
Minshawy_Murattal_128kbps,78,3,2,2360,3180,0,Minshawy_Murattal_128kbps/078003.wav
Minshawy_Murattal_128kbps,78,3,3,3190,5060,0,Minshawy_Murattal_128kbps/078003.wav
Mohammad_al_Tablaway_128kbps,78,3,0,100,1150,0,Mohammad_al_Tablaway_128kbps/078003.wav
Mohammad_al_Tablaway_128kbps,78,3,1,1160,1600,0,Mohammad_al_Tablaway_128kbps/078003.wav
Mohammad_al_Tablaway_128kbps,78,3,2,1610,2410,0,Mohammad_al_Tablaway_128kbps/078003.wav
Mohammad_al_Tablaway_128kbps,78,3,3,2420,5240,0,Mohammad_al_Tablaway_128kbps/078003.wav
Saood_ash-Shuraym_128kbps,78,3,0,100,790,0,Saood_ash-Shuraym_128kbps/078003.wav
Saood_ash-Shuraym_128kbps,78,3,1,800,1080,0,Saood_ash-Shuraym_128kbps/078003.wav
Saood_ash-Shuraym_128kbps,78,3,2,1090,1620,0,Saood_ash-Shuraym_128kbps/078003.wav
Saood_ash-Shuraym_128kbps,78,3,3,1630,2950,0,Saood_ash-Shuraym_128kbps/078003.wav
