surah,ayah,word_idx,reciter,frac_of_ayah,median_frac,z
98,8,7,Abu_Bakr_Ash-Shaatree_128kbps,0.17867,0.03672,52.16
109,4,1,Minshawy_Murattal_128kbps,0.34641,0.07717,36.44
89,18,2,Abu_Bakr_Ash-Shaatree_128kbps,0.33488,0.10037,31.52
82,1,0,Hani_Rifai_192kbps,0.30968,0.07426,30.62
89,23,2,Saood_ash-Shuraym_128kbps,0.47059,0.16413,25.19
84,1,0,Hani_Rifai_192kbps,0.29358,0.07324,23.39
84,7,1,Husary_64kbps,0.28889,0.07844,18.46
89,16,7,Hani_Rifai_192kbps,0.25621,0.11174,17.44
89,15,8,Abu_Bakr_Ash-Shaatree_128kbps,0.21188,0.09382,16.72
83,14,5,Minshawy_Murattal_128kbps,0.13804,0.03828,16.71
78,37,6,Abu_Bakr_Ash-Shaatree_128kbps,0.16817,0.03982,15.56
78,24,3,Alafasy_128kbps,0.25470,0.11988,15.17
82,5,2,Mohammad_al_Tablaway_128kbps,0.18167,0.06405,14.45
97,3,3,Hani_Rifai_192kbps,0.22444,0.07772,14.18
81,1,0,Hani_Rifai_192kbps,0.41693,0.12535,13.66
78,37,4,Alafasy_128kbps,0.20847,0.10440,13.45
85,10,8,Abu_Bakr_Ash-Shaatree_128kbps,0.14035,0.05705,13.03
78,35,3,Alafasy_128kbps,0.27939,0.10923,12.78
80,17,3,Mohammad_al_Tablaway_128kbps,0.46075,0.23896,12.52
79,45,1,Mohammad_al_Tablaway_128kbps,0.36130,0.16369,12.45
92,5,1,Hani_Rifai_192kbps,0.21326,0.11178,12.25
98,8,8,Hani_Rifai_192kbps,0.10034,0.05170,11.95
85,11,5,Abu_Bakr_Ash-Shaatree_128kbps,0.11090,0.03933,11.63
90,16,3,Minshawy_Murattal_128kbps,0.58586,0.30465,11.58
96,10,0,Hani_Rifai_192kbps,0.04800,0.31065,11.41
79,12,3,Hani_Rifai_192kbps,0.42152,0.22991,11.24
81,7,0,Alafasy_128kbps,0.31849,0.17574,10.96
80,8,1,Abdul_Basit_Murattal_64kbps,0.41053,0.16672,10.91
78,25,1,Alafasy_128kbps,0.42857,0.23871,10.73
91,2,1,Hani_Rifai_192kbps,0.37327,0.20810,10.71
81,15,1,Minshawy_Murattal_128kbps,0.50090,0.21217,10.61
85,10,8,Hani_Rifai_192kbps,0.12424,0.05705,10.51
87,1,0,Hani_Rifai_192kbps,0.36000,0.20447,10.26
90,20,2,Mohammad_al_Tablaway_128kbps,0.50194,0.27640,10.21
97,4,5,Abu_Bakr_Ash-Shaatree_128kbps,0.35514,0.16931,9.83
109,5,1,Saood_ash-Shuraym_128kbps,0.05053,0.21047,9.67
111,2,1,Abdul_Basit_Murattal_64kbps,0.44444,0.15794,9.66
85,11,5,Hani_Rifai_192kbps,0.09793,0.03933,9.52
91,15,0,Saood_ash-Shuraym_128kbps,0.70068,0.20974,9.24
79,46,5,Hani_Rifai_192kbps,0.02472,0.07838,9.24
81,29,5,Alafasy_128kbps,0.02895,0.08475,8.88
83,27,1,Abdul_Basit_Murattal_64kbps,0.01263,0.19990,8.86
